FID,GlobalID,Type,SubType,Name,Orig_Name,Source,Province,Prov_Code,District,Distr_Code,LAT,LONG,Data_year,x,y
913,36LUK074021_001,School,Community School,Chitawa Community School,chitawa com sch,ZamStats,Eastern,103,Petauke,103007,-14.4468097601,31.2138567098,2010,31.2138567098194,-14.4468097600623
914,36LTK952022_001,School,Basic School,Kaluba Basic School,kaluba basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4449248404,31.1009005101,2010,31.1009005100506,-14.444924840409
915,36LUJ056979_001,School,Community School,Malowe Community School,malowe com sch,ZamStats,Eastern,103,Petauke,103007,-14.4842304299,31.1966056697,2010,31.196605669716,-14.4842304298904
916,36LUK013124_001,School,Primary School,Minga Primary School,minga primary sch,ZamStats,Eastern,103,Petauke,103007,-14.3528906198,31.1577131299,2010,31.1577131298571,-14.3528906198062
917,36LUK015008_001,School,Basic School,Mtumbata Basic School,mtumbata basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4575467201,31.1592532198,2010,31.1592532197603,-14.457546720105
918,36LUK057039_001,School,Community School,Ngoli Community School,ngoli com sch,ZamStats,Eastern,103,Petauke,103007,-14.4301725198,31.1980254798,2010,31.1980254797921,-14.4301725198459
919,36LUK077090_002,School,Basic School,Nkhuntha Basic School,nkhuntha basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3838571404,31.2167820803,2010,31.2167820803288,-14.3838571403947
920,36LUK016059_001,School Affiliated Infrastructure,Teachers Compound,Mwambulazumba Teachers Compound,teachers house,ZamStats,Eastern,103,Petauke,103007,-14.4114644503,31.1606883696,2010,31.1606883695727,-14.4114644503241
921,36LTK934099_001,School,Community School,Kanjoka Community School,kanjoka comm sch,ZamStats,Eastern,103,Nyimba,103006,-14.3753210903,31.0840586696,2010,31.084058669572,-14.375321090296
922,36LTK927150_001,School,Community School,Mngomba Community School,mngomba comm sch,ZamStats,Eastern,103,Petauke,103007,-14.3284652498,31.0785758997,2010,31.0785758996581,-14.3284652497714
923,36LTK914181_001,School,Community School,Ongolwe Community School,ongolwe comm sch,ZamStats,Eastern,103,Petauke,103007,-14.3004078301,31.0667028504,2010,31.0667028503563,-14.3004078300573
924,36LUK255145_002,School,School,Kalindawalo School,kalindawalo sch,ZamStats,Eastern,103,Petauke,103007,-14.3355492104,31.3828575902,2010,31.3828575902057,-14.3355492104277
925,36LUK145143_001,School,Basic School,Lusowe Basic School,lusowe basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3366893997,31.2805259496,2010,31.2805259496129,-14.336689399696
926,36LUK207102_001,School,Community School,Manzi atuba Community School,manzi atuba com sch,ZamStats,Eastern,103,Petauke,103007,-14.3745258999,31.3376580904,2010,31.3376580904485,-14.3745258998504
927,36LUK206183_001,School,Basic School,Nseko Basic School,nseko basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3011009304,31.3371560196,2010,31.3371560196347,-14.3011009303636
928,36LUK189139_002,School,Basic School,Kazala Basic School,kazala basic sch,ZamStats,Eastern,103,Petauke,103007,-14.3405066899,31.3213534501,2010,31.3213534501017,-14.3405066899318
929,36LUK256074_001,School,Community School,Mtumpha Community School,mtumpha com sch,ZamStats,Eastern,103,Petauke,103007,-14.4001597699,31.3830425799,2010,31.3830425798512,-14.4001597698575
930,36LUK262034_002,School,Basic School,Chileka Basic School,chileka basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4356468199,31.3880308198,2010,31.3880308197666,-14.4356468199447
931,36LUK304065_001,School,Basic School,Chitimba Basic School,chitimba basic sch,ZamStats,Eastern,103,Petauke,103007,-14.4080037296,31.4274685098,2010,31.427468509764,-14.4080037295884
932,36LUK349189_002,School,Basic School,Kabvumbe Basic School,kabvumbe basic sch,ZamStats,Eastern,103,Petauke,103007,-14.2961309701,31.4702494097,2010,31.4702494096825,-14.2961309700682
