ISO3,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
ZMB,708345,Place of delivery: At home,48.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_HOM,83566030,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCHOM,,1992,DHS,6279,6299,,,
ZMB,285930,Place of delivery: At home,49.3,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_HOM,83566030,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCHOM,,1992,DHS,2774,2791,,,
ZMB,834694,Place of delivery: Other,0.4,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_OTH,83566040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCOTH,,1992,DHS,4064,4074,,,
ZMB,708339,Place of delivery: Other,0.4,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_OTH,83566040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCOTH,,1992,DHS,6279,6299,,,
ZMB,285931,Place of delivery: Other,0.5,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_OTH,83566040,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCOTH,,1992,DHS,2774,2791,,,
ZMB,834695,Place of delivery: don't know or missing,0.2,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DKM,83566050,S,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDKM,,1992,DHS,4064,4074,,,
ZMB,708340,Place of delivery: don't know or missing,0.3,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DKM,83566050,S,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCDKM,,1992,DHS,6279,6299,,,
ZMB,285934,Place of delivery: don't know or missing,0.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DKM,83566050,S,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDKM,,1992,DHS,2774,2791,,,
ZMB,834692,Place of delivery: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_TOT,83566060,T,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCTOT,,1992,DHS,4064,4074,,,
ZMB,708342,Place of delivery: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_TOT,83566060,T,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCTOT,,1992,DHS,6279,6299,,,
ZMB,285926,Place of delivery: Total,100,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_TOT,83566060,T,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCTOT,,1992,DHS,2774,2791,,,
ZMB,834693,Place of delivery: Health facility,50.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCDHF,,1992,DHS,4064,4074,,,
ZMB,708343,Place of delivery: Health facility,50.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCDHF,,1992,DHS,6279,6299,,,
ZMB,285928,Place of delivery: Health facility,50.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_DHF,83566070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCDHF,,1992,DHS,2774,2791,,,
ZMB,834676,Number of live births (or stillbirths) in the last two (or three/five) years,4064,0,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_NUM,83566080,D,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCNUM,,1992,DHS,,4074,,,
ZMB,708013,Number of live births (or stillbirths) in the last two (or three/five) years,6279,0,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_NUM,83566080,D,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCNUM,,1992,DHS,,6299,,,
ZMB,49324,Number of live births (or stillbirths) in the last two (or three/five) years,2774,0,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_NUM,83566080,D,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCNUM,,1992,DHS,,2791,,,
ZMB,834727,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),4074,0,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_UNW,83566090,U,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELPCUNW,,1992,DHS,4064,,,,
ZMB,553229,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),6299,0,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_UNW,83566090,U,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELPCUNW,,1992,DHS,6279,,,,
ZMB,285935,Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2791,0,ZM,Zambia,1992,ZM1992DHS,RH_DELP_C_UNW,83566090,U,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELPCUNW,,1992,DHS,2774,,,,
ZMB,834680,Assistance during delivery: Doctor,4.4,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_DOC,83606010,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACDOC,,1992,DHS,4064,4074,,,
ZMB,49332,Assistance during delivery: Doctor,4.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_DOC,83606010,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACDOC,,1992,DHS,6279,6299,,,
ZMB,348703,Assistance during delivery: Doctor,4.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_DOC,83606010,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACDOC,,1992,DHS,2774,2791,,,
ZMB,834685,Assistance during delivery: Nurse/midwife,45.3,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NRS,83606020,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACNRS,,1992,DHS,4064,4074,,,
ZMB,49329,Assistance during delivery: Nurse/midwife,45.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NRS,83606020,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACNRS,,1992,DHS,6279,6299,,,
ZMB,348699,Assistance during delivery: Nurse/midwife,45,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NRS,83606020,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACNRS,,1992,DHS,2774,2791,,,
ZMB,834686,Assistance during delivery: Other health worker,2.5,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_OHW,83606040,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACOHW,,1992,DHS,4064,4074,,,
ZMB,49335,Assistance during delivery: Other health worker,2.2,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_OHW,83606040,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACOHW,,1992,DHS,6279,6299,,,
ZMB,348707,Assistance during delivery: Other health worker,2.5,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_OHW,83606040,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACOHW,,1992,DHS,2774,2791,,,
ZMB,834681,Assistance during delivery: Traditional birth attendant,7.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_TBA,83606060,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACTBA,,1992,DHS,4064,4074,,,
ZMB,49333,Assistance during delivery: Traditional birth attendant,7.8,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_TBA,83606060,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACTBA,,1992,DHS,6279,6299,,,
ZMB,348705,Assistance during delivery: Traditional birth attendant,7.7,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_TBA,83606060,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACTBA,,1992,DHS,2774,2791,,,
ZMB,834683,Assistance during delivery: Relative or other,32.6,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_REL,83606070,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACREL,,1992,DHS,4064,4074,,,
ZMB,49330,Assistance during delivery: Relative or other,32.9,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_REL,83606070,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACREL,,1992,DHS,6279,6299,,,
ZMB,348700,Assistance during delivery: Relative or other,33.1,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_REL,83606070,I,1000,0,Total,Total,14002,Two years preceding the survey,1,1,RHDELACREL,,1992,DHS,2774,2791,,,
ZMB,834682,Assistance during delivery: No one,7.5,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NON,83606080,I,1000,0,Total,Total,14000,Three years preceding the survey,1,0,RHDELACNON,,1992,DHS,4064,4074,,,
ZMB,49334,Assistance during delivery: No one,7.2,1,ZM,Zambia,1992,ZM1992DHS,RH_DELA_C_NON,83606080,I,1000,0,Total,Total,14001,Five years preceding the survey,1,0,RHDELACNON,,1992,DHS,6279,6299,,,
